time,layer_heights
2024-04-08 14:13:00,267.8174530029305
2024-04-08 14:23:00,271.40071258545004
2024-04-08 14:33:00,263.03977355957113
2024-04-08 14:43:00,284.5393310546884
2024-04-08 14:54:00,301.26120910644624
2024-04-08 15:03:00,291.7058502197275
2024-04-08 15:13:00,300.0667892456064
2024-04-08 15:23:00,288.1225906372079
2024-04-08 15:43:00,303.65004882812593
2024-04-08 15:53:00,323.9551864624034
2024-04-08 16:03:00,308.4277282714853
2024-04-08 16:13:00,310.81656799316505
2024-04-08 16:23:00,289.3170104980478
2024-04-08 16:33:00,289.31701049804775
2024-04-08 16:44:00,313.20540771484474
2024-04-08 17:23:00,270.2062927246102
2024-04-08 17:33:00,267.8174530029305
2024-04-08 17:43:00,283.3449111938485
2024-04-08 17:53:00,277.37281188964926
2024-04-08 18:03:00,286.9281707763681
2024-04-08 18:13:00,291.70585021972744
2024-04-08 18:24:00,286.9281707763681
2024-04-08 18:33:00,274.98397216796957
2024-04-08 18:45:00,308.4277282714853
2024-04-08 18:54:00,320.37192687988386
2024-04-08 19:04:00,309.62214813232515
2024-04-08 19:21:00,291.70585021972744
2024-04-08 19:26:00,303.65004882812593
2024-04-08 19:34:00,304.8444686889658
2024-04-08 19:43:00,272.5951324462899
2024-04-08 19:53:00,306.0388885498056
2024-04-08 20:13:00,285.7337509155283
