# Automated TDOA Analysis Results
#
# Generated: 2025-12-31 12:21:16
#
# Propagation Path Information:
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: AB5YO
# RX Grid Square: EL09mn
# Frequency: 7 MHz
# Ground Range: 8.1 km
#
# Propagation Mode: 2F2-1F2
#
# TDOA Model Coefficients:
# Model: mean_tdoa_hgt_km = 150.0*mean_tdoa_ms + 0.0
#
# Columns:
# utc - UTC timestamp (YYYY-mm-dd HH:MM)
# mean_tdoa_ms - Mean TDOA in milliseconds
# mean_tdoa_hgt_km - Mean layer height in kilometers (calculated from TDOA)
#
utc,mean_tdoa_ms,mean_tdoa_hgt_km
2024-04-08 14:07,1.66,248.32
2024-04-08 14:13,1.72,257.41
2024-04-08 14:23,1.73,259.42
2024-04-08 14:33,1.73,259.42
2024-04-08 14:43,1.80,269.52
2024-04-08 14:53,1.84,276.58
2024-04-08 14:54,1.79,268.51
2024-04-08 15:03,1.86,279.61
2024-04-08 15:13,1.88,281.63
2024-04-08 15:23,1.84,276.58
2024-04-08 15:33,1.95,292.73
2024-04-08 15:43,1.90,284.32
2024-04-08 15:54,,
2024-04-08 16:03,,
2024-04-08 16:13,,
2024-04-08 16:23,,
2024-04-08 16:33,1.92,287.69
2024-04-08 16:44,1.95,292.73
2024-04-08 16:53,1.94,290.71
2024-04-08 17:03,1.95,292.73
2024-04-08 17:13,1.82,273.55
2024-04-08 17:23,1.89,283.65
2024-04-08 17:33,1.90,285.67
2024-04-08 17:43,1.87,281.20
2024-04-08 17:53,1.93,290.21
2024-04-08 18:03,1.86,279.61
2024-04-08 18:13,1.88,282.64
2024-04-08 18:23,1.82,273.55
2024-04-08 18:25,1.82,272.55
2024-04-08 18:33,1.75,262.45
2024-04-08 18:40,1.90,284.66
2024-04-08 18:43,1.94,290.49
2024-04-08 18:45,1.93,290.21
2024-04-08 18:53,1.88,282.64
2024-04-08 18:54,,
2024-04-08 19:01,1.86,279.27
2024-04-08 19:02,1.95,292.73
2024-04-08 19:03,1.95,292.73
2024-04-08 19:05,,
2024-04-08 19:13,1.75,262.45
2024-04-08 19:20,1.95,292.73
2024-04-08 19:22,,
2024-04-08 19:26,1.94,290.71
2024-04-08 19:34,1.94,291.47
2024-04-08 19:35,1.92,288.25
2024-04-08 19:43,1.94,291.72
2024-04-08 19:53,1.94,290.71
2024-04-08 20:06,1.85,277.59
2024-04-08 20:13,1.87,280.40
