utc,manualBeatNote_TDOA_ms,manualBeatNote_height_km,autoCorrelation_TDOA_ms,autoCorrelation_height_km
2024-04-08 14:07:00,1.69,253.5,1.728,259.2
2024-04-08 14:13:00,1.8,270.0,1.737,260.55
2024-04-08 14:23:00,1.84,276.0,1.804,270.6
2024-04-08 14:33:00,1.86,279.0,1.785,267.75
2024-04-08 14:43:00,1.86,279.0,1.87,280.5
2024-04-08 14:53:00,1.94,291.0,1.775,266.25
2024-04-08 14:54:00,1.9,285.0,1.879,281.85
2024-04-08 15:03:00,1.88,282.0,1.841,276.15
2024-04-08 15:13:00,2.04,306.0,1.898,284.7
2024-04-08 15:23:00,2.04,306.0,2.002,300.29999999999995
2024-04-08 15:33:00,2.04,306.0,1.804,270.6
2024-04-08 15:43:00,2.08,312.0,2.04,306.0
2024-04-08 15:54:00,2.08,312.0,,
2024-04-08 16:03:00,2.02,303.0,2.03,304.49999999999994
2024-04-08 16:13:00,1.94,291.0,1.945,291.75
2024-04-08 16:23:00,1.92,288.0,2.011,301.65000000000003
2024-04-08 16:33:00,1.97,295.5,1.926,288.9
2024-04-08 16:44:00,1.97,295.5,1.879,281.85
2024-04-08 16:53:00,1.86,279.0,1.926,288.9
2024-04-08 17:03:00,1.9,285.0,1.841,276.15
2024-04-08 17:13:00,1.91,286.5,1.86,279.0
2024-04-08 17:23:00,1.9,285.0,1.974,296.1
2024-04-08 17:33:00,1.91,286.5,2.077,311.55
2024-04-08 17:43:00,1.82,273.0,1.766,264.9
2024-04-08 17:53:00,1.91,286.5,1.851,277.65
2024-04-08 18:03:00,1.84,276.0,1.775,266.25
2024-04-08 18:13:00,1.84,276.0,,
2024-04-08 18:23:00,1.76,264.0,1.709,256.35
2024-04-08 18:25:00,1.93,289.5,,
2024-04-08 18:33:00,1.97,295.5,1.898,284.7
2024-04-08 18:40:00,1.97,295.5,,
2024-04-08 18:43:00,1.99,298.5,1.813,271.95
2024-04-08 18:45:00,2.05,307.5,,
2024-04-08 18:53:00,2.01,301.49999999999994,,
2024-04-08 18:54:00,2.0,300.0,,
2024-04-08 19:01:00,1.99,298.5,1.889,283.35
2024-04-08 19:02:00,2.02,303.0,,
2024-04-08 19:03:00,2.02,303.0,1.889,283.35
2024-04-08 19:05:00,2.02,303.0,,
2024-04-08 19:13:00,2.01,301.49999999999994,,
2024-04-08 19:20:00,1.97,295.5,2.04,306.0
2024-04-08 19:22:00,1.96,294.0,,
2024-04-08 19:26:00,1.92,288.0,1.917,287.55
2024-04-08 19:34:00,1.93,289.5,,
2024-04-08 19:35:00,1.95,292.5,1.945,291.75
2024-04-08 19:43:00,1.91,286.5,,
2024-04-08 19:53:00,1.9,285.0,1.785,267.75
2024-04-08 20:06:00,1.91,286.5,1.79,268.5
2024-04-08 20:13:00,1.89,283.5,,
