# Automated TDOA Analysis Results
#
# Generated: 2025-12-30 15:57:08
#
# Propagation Path Information:
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: N6RFM
# RX Grid Square: EM12jw
# Frequency: 7 MHz
# Ground Range: 407.3 km
#
# Propagation Mode: 1F2-1E
#
# TDOA Model Coefficients:
# Model: mean_tdoa_hgt_km = 181.3*mean_tdoa_ms + 136.2
#
# Columns:
# utc - UTC timestamp (YYYY-mm-dd HH:MM)
# mean_tdoa_ms - Mean TDOA in milliseconds
# mean_tdoa_hgt_km - Mean layer height in kilometers (calculated from TDOA)
#
utc,mean_tdoa_ms,mean_tdoa_hgt_km
2024-04-08 14:13,0.85,291.16
2024-04-08 14:22,0.93,305.55
2024-04-08 14:32,0.95,308.87
2024-04-08 14:42,0.66,255.74
2024-04-08 14:52,0.89,297.48
2024-04-08 15:02,0.90,300.01
2024-04-08 15:12,0.92,303.56
2024-04-08 15:22,0.66,255.74
2024-04-08 15:32,0.83,287.62
2024-04-08 15:42,0.89,297.80
2024-04-08 15:52,0.96,310.77
2024-04-08 16:02,0.91,300.90
2024-04-08 16:12,0.70,262.38
2024-04-08 16:22,0.83,286.73
2024-04-08 16:32,0.85,291.16
2024-04-08 16:42,0.76,274.34
2024-04-08 16:52,0.73,269.02
2024-04-08 17:02,0.76,273.45
2024-04-08 17:12,0.73,269.02
2024-04-08 17:22,0.64,253.09
2024-04-08 17:32,0.68,260.17
2024-04-08 17:42,0.83,287.62
2024-04-08 17:52,0.59,242.46
2024-04-08 18:02,0.92,303.89
2024-04-08 18:12,0.94,307.39
2024-04-08 18:22,0.93,305.55
2024-04-08 18:32,0.75,272.34
2024-04-08 18:39,0.84,288.95
2024-04-08 18:42,0.92,302.23
2024-04-08 18:52,0.82,284.52
2024-04-08 19:01,0.87,293.69
2024-04-08 19:02,0.73,269.02
2024-04-08 19:12,0.74,270.92
2024-04-08 19:21,0.84,288.95
2024-04-08 19:33,0.73,269.02
2024-04-08 19:42,0.81,282.31
2024-04-08 19:52,0.75,272.82
2024-04-08 20:05,0.72,267.36
2024-04-08 20:12,0.98,313.30
